Point,urb_nuts,agg_nuts
1,0.352868025,0
2,0.202399527,0
3,0.014849678,0
4,0.187573096,0
5,0.022660043,0
6,0.023644078,0
7,0.215206677,0
8,0.364947283,0.115715594
9,0.061811241,0
10,0.140017598,0
11,0.290214205,0
12,0.094214628,0
13,0.317695038,0.003297837
14,0.06439182,0
16,0.457258397,0.317928726
17,0.217891015,0
18,0.106093297,0
19,0.033395081,0
20,0.009573931,0
21,0.123825463,0
22,0.021290071,0
23,0.34232712,0
24,0.398655806,0
25,0.329684717,0
26,0.417945252,0
27,0.048688745,0
28,0.077157663,0
29,0.067391836,0
30,0.153164213,0
31,0.113962829,0
32,0.214112864,0
33,0.020795113,0
34,0.178204177,0
35,0.409066515,0
36,0.347134431,0
37,0.23170481,0.058125523
38,0.231948381,0.001979226
39,0.037979102,0
40,0.021992453,0
41,0.032603929,0
42,0.117202178,0
43,0.029517276,0
44,0.131586582,0
45,0.306290611,0
46,0.067580171,0
47,0.036232144,0
48,0.212858717,0
49,0.255357677,0
50,0.008170003,0
51,0.489810401,0.07217287
52,0.341261627,0
53,0.300115555,0
54,0.262805759,0
55,0.209335524,0.036825455
56,0.140906214,0
57,0.020157929,0
58,0.0421588,0
59,0.079931487,0
60,0.089500587,0
61,0.304821881,0
62,0.125489913,0
63,0.00677293,0
64,0.10650437,0
65,0.024262439,0
66,0.358855557,0
67,0.484575372,0.208202645
68,0.339570377,0
69,0.204724546,0
70,0.187174811,0
71,0.032603948,0
72,0.018724592,0
73,0.021461816,0
74,0.021042805,0
75,0.149347329,0
76,0.069251794,0
77,0.011771481,0
78,0.003868471,0
79,0.008348125,0
80,0.265385458,0.001960545
81,0.155634979,0
82,0.06800723,0
83,0.010953135,0
84,0.016548353,0
85,0.072672035,0
86,0.090226819,0
87,0.170504679,0
88,0.21683856,0.007050001
89,0.092058947,0
90,0.055651969,0
91,0.015415997,0
92,0.044237123,0
93,0.22642679,0.054826383
94,0.144828554,0
95,0.064705088,0
96,0.170252651,0
97,0.040459552,0
98,0.28334581,0
99,0.149239592,0.002919398
100,0.068508763,0
101,0.011082878,0
102,0.005574856,0
103,0.051905143,0
104,0.09023,0
105,0.003481604,0
106,0.025431931,0
107,0.047220415,0.007192857
108,0.020529004,0
109,0.080508754,0
110,0.147723412,0.086903922
111,0.0377895,0
112,0.135528498,0
113,0.230472677,0
114,0.020717642,0
115,0.091046877,0
116,0.17283031,0
117,0.101595062,0
118,0.08096393,0
119,0.019406253,0
120,0.088466419,0
121,0.141873782,0
122,0.033603406,0
123,0.124343994,0
124,0.025851009,0
125,0.246521523,0
126,0.400381552,0
127,0.279397533,0
128,0.190710115,0
129,0.464628307,0.299785778
130,0.077382038,0
131,0.203957465,0
132,0.261778491,0.061719015
133,0.169301089,0
134,0.096157413,0
135,0.030307227,0
136,0.133232059,0
137,0.019323051,0
138,0.588245327,0.286244909
139,0.449014023,0.164735471
140,0.447940481,0
141,0.56305637,0.110008068
142,0.300881227,0
143,0.203979127,0
144,0.140562113,0
145,0.247783775,0
146,0.213371192,0
147,0.03471948,0
148,0.115729832,0
149,0.119738858,0
150,0.247619435,0
151,0.025286425,0
152,0.080282311,0
153,0.032897318,0
154,0.075244371,0
155,0.36522114,0
156,0.45024751,0.139501565
157,0.189571994,0
158,0.45626709,0
159,0.573363256,0
160,0.251293466,0
161,0.049397776,0.183376478
162,0.104844269,0.19107493
163,0.122510669,0
164,0.201145936,0
165,0.438132383,0
166,0.070163106,0
167,0.039719753,0.011494633
168,0.011489456,0
169,0.024998392,0
170,0.179904218,0
171,0.055921615,0
172,0.537541589,0.215498435
173,0.138199574,0
174,0.022652822,0.091251358
175,0.438863965,0
176,0.334920154,0
177,0.368762842,0
178,0.562997429,0
179,0.209394928,0
180,0.017398774,0
181,0.008606594,0
182,0.12422742,0
183,0.220557529,0
184,0.038124407,0
185,0.118830147,0
186,0.200250978,0
187,0.257945443,0
188,0.068699824,0
Cook 1,1,0.005136608
OPU 1,0.433985251,1
OPU 2,0.391350809,0.54296209
