site,geometry
1,"list(c(-149.8455917, -149.829821, -149.829821, -149.8455917, -149.8455917, -17.47185366, -17.47185366, -17.48641792, -17.48641792, -17.47185366))"
1,"list(c(-149.8455917, -149.829821, -149.829821, -149.8455917, -149.8455917, -17.47185366, -17.47185366, -17.48641792, -17.48641792, -17.47185366))"
1,"list(c(-149.8455917, -149.829821, -149.829821, -149.8455917, -149.8455917, -17.47185366, -17.47185366, -17.48641792, -17.48641792, -17.47185366))"
1,"list(c(-149.8455917, -149.829821, -149.829821, -149.8455917, -149.8455917, -17.47185366, -17.47185366, -17.48641792, -17.48641792, -17.47185366))"
1,"list(c(-149.8455917, -149.829821, -149.829821, -149.8455917, -149.8455917, -17.47185366, -17.47185366, -17.48641792, -17.48641792, -17.47185366))"
2,"list(c(-149.8116849, -149.7961685, -149.7961685, -149.8116849, -149.8116849, -17.46576169, -17.46576169, -17.48131958, -17.48131958, -17.46576169))"
2,"list(c(-149.8116849, -149.7961685, -149.7961685, -149.8116849, -149.8116849, -17.46576169, -17.46576169, -17.48131958, -17.48131958, -17.46576169))"
2,"list(c(-149.8116849, -149.7961685, -149.7961685, -149.8116849, -149.8116849, -17.46576169, -17.46576169, -17.48131958, -17.48131958, -17.46576169))"
2,"list(c(-149.8116849, -149.7961685, -149.7961685, -149.8116849, -149.8116849, -17.46576169, -17.46576169, -17.48131958, -17.48131958, -17.46576169))"
2,"list(c(-149.8116849, -149.7961685, -149.7961685, -149.8116849, -149.8116849, -17.46576169, -17.46576169, -17.48131958, -17.48131958, -17.46576169))"
3,"list(c(-149.7708619, -149.7519968, -149.7519968, -149.7708619, -149.7708619, -17.50382025, -17.50382025, -17.52087158, -17.52087158, -17.50382025))"
3,"list(c(-149.7708619, -149.7519968, -149.7519968, -149.7708619, -149.7708619, -17.50382025, -17.50382025, -17.52087158, -17.52087158, -17.50382025))"
3,"list(c(-149.7708619, -149.7519968, -149.7519968, -149.7708619, -149.7708619, -17.50382025, -17.50382025, -17.52087158, -17.52087158, -17.50382025))"
3,"list(c(-149.7708619, -149.7519968, -149.7519968, -149.7708619, -149.7708619, -17.50382025, -17.50382025, -17.52087158, -17.52087158, -17.50382025))"
3,"list(c(-149.7708619, -149.7519968, -149.7519968, -149.7708619, -149.7708619, -17.50382025, -17.50382025, -17.52087158, -17.52087158, -17.50382025))"
4,"list(c(-149.7772857, -149.7566866, -149.7566866, -149.7772857, -149.7772857, -17.53305021, -17.53305021, -17.55064263, -17.55064263, -17.53305021))"
4,"list(c(-149.7772857, -149.7566866, -149.7566866, -149.7772857, -149.7772857, -17.53305021, -17.53305021, -17.55064263, -17.55064263, -17.53305021))"
4,"list(c(-149.7772857, -149.7566866, -149.7566866, -149.7772857, -149.7772857, -17.53305021, -17.53305021, -17.55064263, -17.55064263, -17.53305021))"
4,"list(c(-149.7772857, -149.7566866, -149.7566866, -149.7772857, -149.7772857, -17.53305021, -17.53305021, -17.55064263, -17.55064263, -17.53305021))"
4,"list(c(-149.7772857, -149.7566866, -149.7566866, -149.7772857, -149.7772857, -17.53305021, -17.53305021, -17.55064263, -17.55064263, -17.53305021))"
5,"list(c(-149.8869755, -149.8561009, -149.8561009, -149.8869755, -149.8869755, -17.56818162, -17.56818162, -17.59182383, -17.59182383, -17.56818162))"
5,"list(c(-149.8869755, -149.8561009, -149.8561009, -149.8869755, -149.8869755, -17.56818162, -17.56818162, -17.59182383, -17.59182383, -17.56818162))"
5,"list(c(-149.8869755, -149.8561009, -149.8561009, -149.8869755, -149.8869755, -17.56818162, -17.56818162, -17.59182383, -17.59182383, -17.56818162))"
5,"list(c(-149.8869755, -149.8561009, -149.8561009, -149.8869755, -149.8869755, -17.56818162, -17.56818162, -17.59182383, -17.59182383, -17.56818162))"
5,"list(c(-149.8869755, -149.8561009, -149.8561009, -149.8869755, -149.8869755, -17.56818162, -17.56818162, -17.59182383, -17.59182383, -17.56818162))"
6,"list(c(-149.934537, -149.9115336, -149.9115336, -149.934537, -149.934537, -17.50735955, -17.50735955, -17.52839766, -17.52839766, -17.50735955))"
6,"list(c(-149.934537, -149.9115336, -149.9115336, -149.934537, -149.934537, -17.50735955, -17.50735955, -17.52839766, -17.52839766, -17.50735955))"
6,"list(c(-149.934537, -149.9115336, -149.9115336, -149.934537, -149.934537, -17.50735955, -17.50735955, -17.52839766, -17.52839766, -17.50735955))"
6,"list(c(-149.934537, -149.9115336, -149.9115336, -149.934537, -149.934537, -17.50735955, -17.50735955, -17.52839766, -17.52839766, -17.50735955))"
6,"list(c(-149.934537, -149.9115336, -149.9115336, -149.934537, -149.934537, -17.50735955, -17.50735955, -17.52839766, -17.52839766, -17.50735955))"
